X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
18.1588649564741,6.63495718242476,"2590515745",node,18.75,hospital,,Poste de Santé de Wangue 1,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Wangue,141327887,4,2023/09/16 06:22:04+00,80e7a1287d9a4a4183cd30258372b3d3
16.4950999242377,5.55302992178585,"2670853365",node,18.75,doctors,,Centre de Santé de Tedoa,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Tedoa,98469292,2,2021/01/31 22:22:55+00,c6fac3460422413f83350df4d310a34c
,,"314528642",way,12.5,hospital,hospital,Poste De Sante Batimbilika,,,,,,,,,,,,,,,,,,,,,,,,84320144,3,2020/04/29 08:19:15+00,95548b54c94f492fb5c2042bd1ff4314
15.138474478731,4.12044088037914,"2661965355",node,21.875,doctors,doctor,Poste de Santé de Gamboula,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Gamboula,134613767,5,2023/04/07 12:29:50+00,c44c112d90964263b480cb4549f94e7a
15.7627745527103,4.24697677289552,"4733955757",node,15.625,doctors,doctor,Centre de Santé Sant Francis,,,,,,,,,,,,,,,,,,,,centre desante sant franciis,,,,134614304,3,2023/04/07 12:41:37+00,3e35121ee60e4d14a40149017a77809e
,,"785811791",way,18.75,doctors,,Poste de Santé de Boko,,"bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Boko,88789830,3,2020/07/31 15:40:17+00,e49377af4d5c4ca598ce099660a42d27
,,"500634403",way,21.875,hospital,hospital,Poste de Santé de Ngolomanda,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Ngolomanda,84209828,3,2020/04/27 16:18:11+00,c441e761f13946bb946a62d4f270facf
,,"212749298",way,28.125,hospital,hospital,Dispensaire Saint-Jean de Galabadja,Eglise,"Bing;Survey",,private,open,,,,,,,,,,,,,,,,Galabadja,,,107249315,4,2021/07/01 09:06:20+00,e802963d88814c8e9ebcc3d6bbd79813
,,"214258328",way,18.75,doctors,,Centre de Santé Herman,,"Bing;UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bouar,97559922,4,2021/01/15 12:22:33+00,2ab794175bf0431fb935880811daecf1
18.534016227563,4.45328089098138,"2225279274",node,18.75,hospital,,Hopital de district de Begoua,,survey,,government,open,,,,,,,,,,,,,,,,,,,107218798,2,2021/06/30 16:40:17+00,1a2b94f5f6d143a09197804c5f14b5a5
,,"261627748",way,18.75,doctors,,Poste de Santé de Bouyangou,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Bouyangou,88789830,4,2020/07/31 15:40:17+00,cd624f0632c2446eb16cae5ce010d655
18.5566786306303,4.41636665412909,"2225509419",node,21.875,hospital,,Centre de santé communautaire Cité Jean XXIII,,Survey,,NGO,open,,,,,,,,,,,,,,,,Cité Jean XXIII,,,107245715,2,2021/07/01 07:54:45+00,a8ab7eaac35b4052806095440b757cca
,,"785842104",way,12.5,hospital,hospital,Bakouma Centre de Santé,,,,,,,,,,,,,,,,,,,,,,,,104463827,3,2021/05/10 16:17:52+00,0e1d9d85764b404a9a0a14a64e41728e
,,"261554828",way,21.875,hospital,hospital,Poste de Santé de Bégouladjé 1,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Bégouladjé 1,84259872,3,2020/04/28 10:43:50+00,c3f46a5ad8454bc48bfab9b736842c5e
15.6155424839731,6.3763510781836,"2665791729",node,18.75,doctors,,Poste de Santé Forte,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Forte,88789830,3,2020/07/31 15:40:17+00,69bd01c334cb4bdda0e3b4d3ed060845
15.5592009234023,6.00984967971266,"9816612368",node,12.5,hospital,hospital,CSP Maigaro,,,,,,,,,,,,,,,,,,,,,,,,122359692,1,2022/06/14 08:15:40+00,598999cf4ac542cbac2ed60d106b8ade
,,"785842105",way,12.5,hospital,hospital,PDS de Imila,,,,,,,,,,,,,,,,,,,,,,,,84320144,2,2020/04/29 08:19:15+00,9b15b3a522bf46e3b223ed525054f592
,,"783882048",way,21.875,hospital,hospital,Hôpital Préfectoral,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bouar,97559922,2,2021/01/15 12:22:33+00,d9cc33fcf0eb42728e4e610b2bba4d67
,,"784201277",way,21.875,hospital,hospital,Centre de Santé Jean Paul II,,UNICEF,,private,,,,,,,,,,,,,,,,,,,Bodanga 2,84259872,2,2020/04/28 10:43:50+00,c4077a56670d46ad8f3fc97a679e7737
,,"779907398",way,21.875,hospital,hospital,Poste de Santé de Ngbawele,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Ngbawele,141278387,4,2023/09/14 22:29:39+00,6300bcbbfe464ffab7eeaddeeb9c004d
